symbol,bucket,date,is_abnormal,activity_type,return_zscore,volume_zscore,relative_strength_zscore,gap_pct,same_day_return,fwd_1d,fwd_5d,fwd_20d,dd_5d,mfe_5d
LLY,large_healthcare,2025-02-24,False,,,,,,0.008836187162347908,0.023144996596323963,0.054821874290900796,-0.01872021783526212,0.010596777853415063,0.0615214431586113
LLY,large_healthcare,2025-02-25,False,,,,,,0.023144996596323963,0.01464848081614556,0.010268352184519935,-0.05483477489465505,-0.010187513861166564,0.037508316699933486
LLY,large_healthcare,2025-02-26,False,,,,,,0.01464848081614556,-0.010764909673118384,0.016076327034677318,-0.09644703336575555,-0.024477437405055702,0.02252980841739438
LLY,large_healthcare,2025-02-27,True,false_breakout;liquidity_sweep_high;bull_trap,-1.172108,-0.303101,-0.143287,0.000776,-0.010764909673118384,0.01709090105616684,0.008396305625524736,-0.09223783640461358,-0.013861748199213375,0.03365703301073841
LLY,large_healthcare,2025-02-28,False,,,,,,0.01709090105616684,0.009873673462737598,-0.055451158445846804,-0.10657919033705177,-0.0643472404766301,0.016287759469059138
LLY,large_healthcare,2025-03-03,False,,,,,,0.009873673462737598,-0.020070558877941846,-0.10751624144903849,-0.11165727315750984,-0.11179710020221145,0.0017854838015747276
LLY,large_healthcare,2025-03-04,False,,,,,,-0.020070558877941846,0.020481636774746015,-0.09549316181151624,-0.11616139441968687,-0.10912563387702234,0.022303690207011728
LLY,large_healthcare,2025-03-05,False,,,,,,0.020481636774746015,-0.0182420513703051,-0.11601342339629139,-0.11992858064793699,-0.12700598029514265,0.0017854838015747276
LLY,large_healthcare,2025-03-06,False,,,,,,-0.0182420513703051,-0.04730706867084444,-0.121729698935098,-0.13549016170734907,-0.12859897453876157,-0.005214952451904065
LLY,large_healthcare,2025-03-07,True,return_zscore;sector_relative_move,-3.259394,1.150081,-3.882124,-0.008074,-0.04730706867084444,-0.045792221532234056,-0.06451390326364459,-0.15107293176016012,-0.08532854941465995,-0.007348375077623648
LLY,large_healthcare,2025-03-10,True,return_zscore;volume_spike,-2.556691,3.199735,-1.132301,-0.01802,-0.045792221532234056,-0.006869456228307036,-0.006025838796760552,-0.12778393752410333,-0.04143366756652522,0.005893270343231727
LLY,large_healthcare,2025-03-11,False,,,,,,-0.006869456228307036,-0.0026697085163700507,-0.0018809310001698387,-0.11870494866878623,-0.03480329102249835,0.014841152343276098
LLY,large_healthcare,2025-03-12,False,,,,,,-0.0026697085163700507,-0.024590562869588495,0.018433796510354483,-0.08292166549047275,-0.03221959944516095,0.024663568004283043
LLY,large_healthcare,2025-03-13,False,,,,,,-0.024590562869588495,0.014757063556414929,0.05104472026445461,-0.100717270629327,-0.0020582548493731645,0.065789184806337
LLY,large_healthcare,2025-03-14,False,,,,,,0.014757063556414929,0.013866351969316959,0.02961351231745102,-0.0996582583468556,-0.001063332841618747,0.05028998869056389
LLY,large_healthcare,2025-03-17,False,,,,,,0.013866351969316959,-0.002728066346573521,0.04866870362287212,-0.0853702895387749,-0.014725495901838137,0.0510572772685387
LLY,large_healthcare,2025-03-18,False,,,,,,-0.002728066346573521,0.017628964997385976,0.036279194173931106,-0.07942760574339525,-0.0036595299753194865,0.06371959003537953
LLY,large_healthcare,2025-03-19,False,,,,,,0.017628964997385976,0.006642692440950615,-0.012245970776932125,-0.12199376351537017,-0.013966380329983985,0.04529217094180482
LLY,large_healthcare,2025-03-20,False,,,,,,0.006642692440950615,-0.005934225049550768,-0.024805060707122406,-0.003097665475865541,-0.032377131870349185,0.03839443607059345
LLY,large_healthcare,2025-03-21,True,volume_spike,-0.215397,2.6484,-0.314091,-0.005661,-0.005934225049550768,0.03263010852824233,-0.01798058669723135,-0.023341332664732595,-0.02660076172737813,0.04459328772520488
LLY,large_healthcare,2025-03-24,False,,,,,,0.03263010852824233,-0.014510348017111707,-0.04508035611053307,-0.04319574517285241,-0.08729332870852125,0.011585154353104476
LLY,large_healthcare,2025-03-25,False,,,,,,-0.014510348017111707,-0.03002287792573477,-0.05528245439080193,-0.026902094210125016,-0.07385463717956242,-0.0011028333431103432
LLY,large_healthcare,2025-03-26,False,,,,,,-0.03002287792573477,-0.006156562968697155,-0.010329478929798186,0.0398785620978277,-0.04518844646572162,0.0036528133920363803
LLY,large_healthcare,2025-03-27,False,,,,,,-0.006156562968697155,0.0010223082259301908,-0.03965095476286096,0.07651490257646021,-0.042121532975525455,0.009870142514634805
LLY,large_healthcare,2025-03-28,False,,,,,,0.0010223082259301908,0.004133688344214681,-0.10249115512273399,0.06660101396943507,-0.1067616199195146,0.006686848792111899
LLY,large_healthcare,2025-03-31,True,false_breakdown;liquidity_sweep_low;bear_trap,0.457436,0.237045,-0.026084,-0.01645,0.004133688344214681,-0.025039047838142148,-0.12371808066254186,0.07178748289765235,-0.18018767178021822,-0.006356624813841694
LLY,large_healthcare,2025-04-01,False,,,,,,-0.025039047838142148,0.01613203680935893,-0.09809619611787934,0.11638910621809928,-0.15913316692125234,0.018156303168038956
LLY,large_healthcare,2025-04-02,False,,,,,,0.01613203680935893,-0.03560167192197694,-0.07884187626799632,,-0.172482706362592,0.000696634157072662
LLY,large_healthcare,2025-04-03,False,,,,,,-0.03560167192197694,-0.06447933695776142,-0.08640332534945327,,-0.14193412665221972,-0.0263848230239897
LLY,large_healthcare,2025-04-04,True,return_zscore,-2.678578,1.718578,-0.120398,-0.034191,-0.06447933695776142,-0.01961501469771476,-0.007856842903780858,,-0.08279324311510283,0.034263962829005346
LLY,large_healthcare,2025-04-07,True,volume_spike;gap,-0.503479,2.499108,-1.289428,-0.054564,-0.01961501469771476,0.0034681441974215854,0.04230859574703283,,-0.04798750915396632,0.054956959086952306
LLY,large_healthcare,2025-04-08,True,gap,0.459793,0.573663,1.645061,0.043179,0.0034681441974215854,0.03782496144525238,0.04260299625468167,,-0.051277814496585195,0.05379764265256659
LLY,large_healthcare,2025-04-09,True,volume_spike;sector_relative_move,1.999814,2.672284,-5.0027,-0.030073,0.03782496144525238,-0.0435180639768612,-0.024956548274535417,,-0.08218678271483737,0.015390534821084989
LLY,large_healthcare,2025-04-10,False,,,,,,-0.0435180639768612,0.01595206059008758,0.1651385054999932,,-0.01239405751064615,0.19016243359087825
LLY,large_healthcare,2025-04-11,False,,,,,,0.01595206059008758,0.02995589901830953,0.11688808181209986,,-0.002826285823514074,0.17147499351456164
LLY,large_healthcare,2025-04-14,False,,,,,,0.02995589901830953,0.0037515742029561316,0.09702392788493386,,-0.031828726718366784,0.13740306223901366
LLY,large_healthcare,2025-04-15,False,,,,,,0.0037515742029561316,-0.02942497160516655,0.09540664042896019,,-0.03544731767875531,0.13315195858316398
LLY,large_healthcare,2025-04-16,False,,,,,,-0.02942497160516655,0.14295822560892657,0.16985984487685402,,0.09810858620220442,0.17328888284120292
