direction_hypothesis,direction_sign,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_base_close,event_count,event_date,event_fwd_10d,event_fwd_14d,event_fwd_1d,event_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,event_prior_1d_abs_return,event_prior_1d_return,matched_control_count,symbol
bullish_activity,1,,,0.011815520811023106,0.04704790461911901,280.14,11,2026-05-01,,,-0.011815520811023106,0.04704790461911901,,,-0.01884736203326909,-0.01884736203326909,,,0.0017491254372814513,0.05218819161847654,,,0.020596487470550463,0.07103555365174556,0.032393587617468134,0.032393587617468134,3,AAPL
bearish_activity,-1,0.2950896224720716,0.46722224217823927,0.0123567656884227,0.2493624052588097,278.39,4,2026-04-17,0.2950896224720716,0.46722224217823927,-0.0123567656884227,0.2493624052588097,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,0.303171809332232,0.5467509608822159,0.03311900571141213,0.26796939545242293,0.3261252200150868,0.5697043715650707,0.056072416394267084,0.2909228061352779,0.00046718895996544774,0.00046718895996544774,3,AMD
bearish_activity_or_call_selling,0,0.2950896224720716,0.46722224217823927,0.0123567656884227,0.2493624052588097,278.39,2,2026-04-17,0.2950896224720716,0.46722224217823927,-0.0123567656884227,0.2493624052588097,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,0.303171809332232,0.5467509608822159,0.03311900571141213,0.26796939545242293,0.3261252200150868,0.5697043715650707,0.056072416394267084,0.2909228061352779,0.00046718895996544774,0.00046718895996544774,3,AMD
bullish_activity,1,0.2950896224720716,0.46722224217823927,0.0123567656884227,0.2493624052588097,278.39,9,2026-04-17,0.2950896224720716,0.46722224217823927,-0.0123567656884227,0.2493624052588097,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,0.303171809332232,0.5467509608822159,0.03311900571141213,0.26796939545242293,0.3261252200150868,0.5697043715650707,0.056072416394267084,0.2909228061352779,0.00046718895996544774,0.00046718895996544774,3,AMD
bullish_activity_or_put_selling,0,0.2950896224720716,0.46722224217823927,0.0123567656884227,0.2493624052588097,278.39,4,2026-04-17,0.2950896224720716,0.46722224217823927,-0.0123567656884227,0.2493624052588097,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,0.303171809332232,0.5467509608822159,0.03311900571141213,0.26796939545242293,0.3261252200150868,0.5697043715650707,0.056072416394267084,0.2909228061352779,0.00046718895996544774,0.00046718895996544774,3,AMD
mixed_or_conflicting_activity,0,0.2950896224720716,0.46722224217823927,0.0123567656884227,0.2493624052588097,278.39,3,2026-04-17,0.2950896224720716,0.46722224217823927,-0.0123567656884227,0.2493624052588097,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,-0.022953410682854947,0.303171809332232,0.5467509608822159,0.03311900571141213,0.26796939545242293,0.3261252200150868,0.5697043715650707,0.056072416394267084,0.2909228061352779,0.00046718895996544774,0.00046718895996544774,3,AMD
bearish_activity,-1,0.30873177884477165,0.2929472988125701,0.03789425260918322,0.03660044277047825,347.81,5,2026-04-24,0.30873177884477165,0.2929472988125701,-0.03789425260918322,0.03660044277047825,-0.10870877778097232,-0.10870877778097232,-0.054627526523101655,-0.10870877778097232,0.3118944251171618,0.3490555188177453,0.0040251861648601395,0.04306949196400334,0.4206032028981341,0.4577642965987176,0.05865271268796175,0.15177826974497577,0.1391281564209217,0.1391281564209217,3,AMD
bearish_activity_or_call_selling,0,0.30873177884477165,0.2929472988125701,0.03789425260918322,0.03660044277047825,347.81,1,2026-04-24,0.30873177884477165,0.2929472988125701,-0.03789425260918322,0.03660044277047825,-0.10870877778097232,-0.10870877778097232,-0.054627526523101655,-0.10870877778097232,0.3118944251171618,0.3490555188177453,0.0040251861648601395,0.04306949196400334,0.4206032028981341,0.4577642965987176,0.05865271268796175,0.15177826974497577,0.1391281564209217,0.1391281564209217,3,AMD
bullish_activity,1,0.30873177884477165,0.2929472988125701,0.03789425260918322,0.03660044277047825,347.81,9,2026-04-24,0.30873177884477165,0.2929472988125701,-0.03789425260918322,0.03660044277047825,-0.10870877778097232,-0.10870877778097232,-0.054627526523101655,-0.10870877778097232,0.3118944251171618,0.3490555188177453,0.0040251861648601395,0.04306949196400334,0.4206032028981341,0.4577642965987176,0.05865271268796175,0.15177826974497577,0.1391281564209217,0.1391281564209217,3,AMD
bullish_activity_or_put_selling,0,0.30873177884477165,0.2929472988125701,0.03789425260918322,0.03660044277047825,347.81,5,2026-04-24,0.30873177884477165,0.2929472988125701,-0.03789425260918322,0.03660044277047825,-0.10870877778097232,-0.10870877778097232,-0.054627526523101655,-0.10870877778097232,0.3118944251171618,0.3490555188177453,0.0040251861648601395,0.04306949196400334,0.4206032028981341,0.4577642965987176,0.05865271268796175,0.15177826974497577,0.1391281564209217,0.1391281564209217,3,AMD
